Prashant,Sinha,Speaker,@prashnts,"Cluster Innovation Centre, University of Delhi"
Prashant,Ravi,Speaker,@prashantrar,Nanyang Technological University
Prashanth,Pai,Speaker,,Red Hat
Praveen,Patil,Speaker,@_gnovi,"ExpEYES, PSLab, FOSSASIA"
Praveen,Kumar,Speaker,@kumar_pravin,Red Hat
Prempal,Singh,Speaker,@prempal42,DHIS2
Pulkit,Goyal,Speaker,@JokersSyntax,Mercurial
Qu?n,Nguy?n,Speaker,,AgriConnect
Quang,Nguyen,Speaker,,DEK Technologies Vietnam
Raj Rohit,Jalem,Speaker,@data__wizard,Zomato
Ricky,Setyawan,Speaker,@dbmsboy,Oracle
Robert,Reyes,Speaker,@bobreyes,Mozilla Philippines Community
Rohit,Gupta,Speaker,@rohit01,OlaCabs
Roland,Turner,Speaker,@rolandturner,FOSSASIA
saad,chinoy,Speaker,@saadcaffeine,Tusitala Digital Publishing
Sagar Chand,Agarwal,Speaker,@sagaragarwal94,KDE
Sanjay,Manwani,Speaker,@manwanis,Oracle
Sanjeev,Gupta,Speaker,,NTPSec
Santosh,Viswanatham,Speaker,@isantoshv,Mozilla Corporation
Saptak,Sengupta,Speaker,@Saptak013,FOSSASIA
Sayan,Chowdhury,Speaker,@yudocaa,Fedora Project
Sebastiaan,Deckers,Speaker,@sebdeckers,N/A
Shah Mijanur,Rahman,Speaker,@mijanur_rayhan/,OWASP
Shan Jun,Ng,Speaker,,Custodio
Shiven,Mian,Speaker,@shiven_mian,Loklak / IIIT-Delhi
Shubham,Patel,Speaker,@shubhpatel108,Amazon
Siddhesh,Poyarekar,Speaker,@siddhesh_p,Linaro
Simmi,Mourya,Speaker,@simmimourya,Mifos Initiative
Spencer,Yang,Speaker,@spenceryang,KeyReply
Sreeharsha,Ramanavarapu,Speaker,,Oracle India
Sreeja,Kamishetty,Speaker,@sreeja_k5,"International Institute of IT, Hyderabad"
Srijan,Agarwal,Speaker,@srijancse,WikiToLearn
Srishti,Sethi,Speaker,@srish_aka_tux,Wikimedia Foundation
Steffen,Braun,Speaker,,KI Group
Stephan ,Wissel,Speaker,@notessensei,IBM
Stephanie,Taylor,Speaker,,Google Open Source Programs Office
Steven,Shiau,Speaker,,Clonezilla
Sudheesh,Singanamalla,Speaker,@sudheesh001,Microsoft
Suhaib,Khan,Speaker,@iamsuheb,Classical Language Toolkit (CLTK)
Sushant Mahesh,Pawar,Speaker,,Ashnik Technologies India
Sujitha,Sivakumar,Speaker,,ORACLE
Super,Dev,Speaker,,Google
Sushma ,Kukkadapu,Speaker,@SushmaKukkadapu,BVRIT Hyderabad College of Engineering for Women
sva,sva,Speaker,@sva,pEp foundation
Sven,Dowideit,Speaker,@SvenDowideit,Rancher Labs
Tony,Thomas,Speaker,@01tonythomas,Wikimedia Foundation 
Trishul,Goel,Speaker,@trishulgoel,Mozilla
Triton,Ho,Speaker,,hypebeast.com
Udayan,Tandon,Speaker,@kevinfire2006,Indraprastha Institute of Information Technology - Delhi
Urvika,Gola,Speaker,@UrvikaGola,Debian
Vaishali,Thakkar,Speaker,@kernel_girl,Oracle
Venkatesh,Duggirala,Speaker,ORACLE,
Victoria ,Bondarchuk,Speaker,@seoul_victoria,Open Source Design
Viktor,Gal,Speaker,,Shogun Machine Learning Toolbox 
Virgil,Griffith,Speaker,@legalese,Legalese
VIshnu,Patekar,Speaker,@vishnupatekar,linux-sunxi.org
Wing Ho Andy,Li,Speaker,@andy_li,Haxe Foundation
Wulf,Hofbauer,Speaker,,Science Centre Singapore
Yantisa,Akhadi,Speaker,@iyan31,Humanitarian OpenStreetMap
Yohei,Yasukawa,Speaker,@yasulab,CoderDojo Japan
Yuen Hoe,Lim,Speaker,@jasonmoofang,MomoCentral
Zhao,Qiang,Speaker,,SUSE
Marco A.,Guti?rrez,Speaker,@marcoagutier,Robocomp
Gabriel,Perumal,Speaker,,Electronics Wizard
Siyin,Wang,Speaker,,Dunman High School
Toby,Hoenisch,Speaker,,COMIT
Gaurang,Torvekar,Speaker,,Attores
Vlado,Koljibabic,Speaker,,Daimler
Denis,Nek,Speaker,@nekdenis,Google
Maksym,Boguk,Speaker,,Postgresql
Sameer,Kumar,Speaker,@sameerkasi200x,Ashnik Pte Ltd
Umair,Shahid,Speaker,,2ndQuadrant
Brady,Forrest,Speaker,@brady,ignitetalks.io
Michael ,Rebultan,,Speaker
Floyd ,D'costa,,Speaker,
Michael,Christen,Speaker,@0rb1t3r,SUSI AI
Jan Michael,Graef,Speaker,,Daimler 
Chan,Cheow Hoe ,Speaker,,CIO GovTech
Devan,Mitchem,Speaker,@mitchem,Google
Andrew,Selle,Speaker,,Google Brain
Andrey ,Terekhov,Speaker,,Microsoft
Samuel,de Medeiros Queiroz,Speaker,,
Remi,Denis-Courmont,Speaker,,"VideoLAN, VLC"
Luis,Morgado da Costa,Speaker,,NTU
Rumesh Eranga,Hapuarachchi,Speaker,@rehrumesh,99X Technology (PVT)
Dr. Graham,Williams,Speaker,,Microsoft
Andy Li,,Speaker,,Haxe
Devrim G?nd?z,,Speaker,,EnterpriseDB
Dilip Kumar,,Speaker,,EnterpriseDB
Rumesh Hapuarachchi,,Speaker,,99X Technology
Sameer Kumar,,Speaker,,Ashnik Pte Ltd
Simon Riggs,,Speaker,,2ndQuadrant
Stephen Williams,,Speaker,
Jeffrey Farmilo,,Speaker,
